datetime,Symbol,Open,High,Low,Close,Volume
2026-01-12 13:30:00,BINANCE:BTCUSD,91294.13,91502.62,90324.58,90651.42,0.02314
2026-01-12 14:30:00,BINANCE:BTCUSD,90674.34,91086.43,90590.7,90680.0,0.23748
2026-01-12 15:30:00,BINANCE:BTCUSD,90551.71,90666.6,90346.71,90351.21,0.15413
2026-01-12 16:30:00,BINANCE:BTCUSD,90318.64,90862.23,90318.64,90572.85,0.04286
2026-01-12 17:30:00,BINANCE:BTCUSD,90558.43,90980.84,90558.41,90658.2,0.10083
2026-01-12 18:30:00,BINANCE:BTCUSD,90702.64,90702.64,90482.85,90570.93,0.00613
2026-01-12 19:30:00,BINANCE:BTCUSD,90538.99,90998.67,90063.68,90800.49,0.61674
2026-01-12 20:30:00,BINANCE:BTCUSD,90820.59,91569.42,90666.38,91569.42,0.02453
2026-01-12 21:30:00,BINANCE:BTCUSD,91603.87,92226.61,91518.96,92035.27,0.2203
2026-01-12 22:30:00,BINANCE:BTCUSD,92035.52,92222.51,90948.7,91385.0,0.08201
2026-01-12 23:30:00,BINANCE:BTCUSD,91425.74,91823.13,91347.51,91637.59,0.01914
2026-01-13 00:30:00,BINANCE:BTCUSD,91395.51,91801.55,91395.51,91711.65,0.01495
2026-01-13 01:30:00,BINANCE:BTCUSD,91877.16,91877.16,91392.71,91395.75,0.02078
2026-01-13 02:30:00,BINANCE:BTCUSD,91339.69,91382.12,90899.1,90899.1,0.00515
2026-01-13 03:30:00,BINANCE:BTCUSD,91150.16,91284.44,91150.16,91215.32,0.07496
2026-01-13 04:30:00,BINANCE:BTCUSD,91076.27,91197.22,91076.27,91197.22,0.00134
2026-01-13 05:30:00,BINANCE:BTCUSD,91207.89,91445.07,91207.89,91445.07,0.00142
2026-01-13 06:30:00,BINANCE:BTCUSD,91382.26,91382.26,91076.27,91115.13,0.00528
2026-01-13 07:30:00,BINANCE:BTCUSD,91158.88,91219.44,91040.2,91040.2,0.0222
2026-01-13 08:30:00,BINANCE:BTCUSD,91064.7,91351.12,91064.7,91321.0,0.0163
